Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2020-07-02,3130.01,27.68,25827.36,622.21
2020-07-06,3179.72,27.94,26287.03,623.44
2020-07-07,3145.32,29.43,25890.18,624.88
2020-07-08,3169.94,28.08,26067.28,624.92
2020-07-09,3152.05,29.26,25706.09,626.71
2020-07-10,3185.04,27.29,26075.3,625.28
2020-07-13,3155.22,32.19,26085.8,625.74
2020-07-14,3197.52,29.52,26642.59,626.76
2020-07-15,3226.56,27.76,26870.1,627.34
2020-07-16,3215.57,28.0,26734.71,628.6
2020-07-17,3224.73,25.68,26671.95,628.88
2020-07-20,3251.84,24.46,26680.87,630.47
2020-07-21,3257.3,24.84,26840.4,632.41
2020-07-22,3276.02,24.32,27005.84,633.73
2020-07-23,3235.66,26.08,26652.33,634.74
2020-07-24,3215.63,25.84,26469.89,634.13
2020-07-27,3239.41,24.74,26584.77,633.38
2020-07-28,3218.44,25.44,26379.28,634.26
2020-07-29,3258.44,24.1,26539.57,634.69
2020-07-30,3246.22,24.76,26313.65,636.13
2020-07-31,3271.12,24.46,26428.32,636.93
2020-08-03,3294.61,24.28,26664.4,636.63
2020-08-04,3306.51,23.76,26828.47,639.3
2020-08-05,3327.77,22.99,27201.52,639.25
2020-08-06,3349.16,22.65,27386.98,640.29
2020-08-07,3351.28,22.21,27433.48,639.74
2020-08-10,3360.47,22.13,27791.44,639.69
2020-08-11,3333.69,24.03,27686.91,636.73
2020-08-12,3380.35,22.28,27976.84,636.36
2020-08-13,3373.43,22.13,27896.72,634.51
2020-08-14,3372.85,22.05,27931.02,634.0
2020-08-17,3381.99,21.35,27844.91,634.67
2020-08-18,3389.78,21.51,27778.07,634.45
2020-08-19,3374.85,22.54,27692.88,634.12
2020-08-20,3385.51,22.72,27739.73,635.15
2020-08-21,3397.16,22.54,27930.33,635.4
2020-08-24,3431.28,22.37,28308.46,635.52
2020-08-25,3443.62,22.03,28248.44,634.22
2020-08-26,3478.73,23.27,28331.92,633.77
2020-08-27,3484.55,24.47,28492.27,631.49
2020-08-28,3508.01,22.96,28653.87,632.43
2020-08-31,3500.31,26.41,28430.05,634.55
2020-09-01,3526.65,26.12,28645.66,636.29
2020-09-02,3580.84,26.57,29100.5,638.06
2020-09-03,3455.06,33.6,28292.73,638.83
2020-09-04,3426.96,30.75,28133.31,634.26
2020-09-08,3331.84,31.46,27500.89,634.88
2020-09-09,3398.96,28.81,27940.47,634.19
2020-09-10,3339.19,29.71,27534.58,635.13
2020-09-11,3340.97,26.87,27665.64,635.61
2020-09-14,3383.54,25.85,27993.33,635.95
2020-09-15,3401.2,25.59,27995.6,636.02
2020-09-16,3385.49,26.04,28032.38,636.23
2020-09-17,3357.01,26.46,27901.98,636.24
2020-09-18,3319.47,25.83,27657.42,635.9
2020-09-21,3281.06,27.78,27147.7,635.89
2020-09-22,3315.57,26.86,27288.18,635.88
2020-09-23,3236.92,28.58,26763.13,634.59
2020-09-24,3246.59,28.51,26815.44,633.04
2020-09-25,3298.46,26.38,27173.96,631.92
2020-09-28,3351.6,26.19,27584.06,632.42
2020-09-29,3335.47,26.27,27452.66,633.6
2020-09-30,3363.0,26.37,27781.7,633.11
2020-10-01,3380.8,26.7,27816.9,633.48
2020-10-02,3348.44,27.63,27682.81,633.06
2020-10-05,3408.63,27.96,28148.64,631.87
2020-10-06,3360.95,29.48,27772.76,633.98
2020-10-07,3419.45,28.06,28303.46,632.72
2020-10-08,3446.83,26.36,28425.51,634.24
2020-10-09,3477.13,25.0,28586.9,634.38
2020-10-12,3534.22,25.07,28837.52,634.56
2020-10-13,3511.93,26.07,28679.81,637.09
2020-10-14,3488.67,26.4,28514.0,637.19
2020-10-15,3483.34,26.97,28494.2,636.26
2020-10-16,3483.81,27.41,28606.31,636.26
2020-10-19,3426.92,29.18,28195.42,635.87
2020-10-20,3443.12,29.35,28308.79,634.83
2020-10-21,3435.56,28.65,28210.82,634.35
2020-10-22,3453.49,28.11,28363.66,633.13
2020-10-23,3465.39,27.55,28335.57,633.8
2020-10-26,3400.97,32.46,27685.38,635.37
2020-10-27,3390.68,33.35,27463.19,636.5
2020-10-28,3271.03,40.28,26519.95,635.32
2020-10-29,3310.11,37.59,26659.11,632.87
2020-10-30,3269.96,38.02,26501.6,631.7
2020-11-02,3310.24,37.13,26925.05,632.5
2020-11-03,3369.16,35.55,27480.03,631.91
2020-11-04,3443.44,29.57,27847.66,637.97
2020-11-05,3510.45,27.58,28390.18,639.68
2020-11-06,3509.44,24.86,28323.4,638.6
2020-11-09,3550.5,25.75,29157.97,635.93
2020-11-10,3545.53,24.8,29420.92,635.7
2020-11-11,3572.66,23.45,29397.63,635.76
2020-11-12,3537.01,25.35,29080.17,638.88
2020-11-13,3585.15,23.1,29479.81,638.63
2020-11-16,3626.91,22.45,29950.44,638.76
2020-11-17,3609.53,22.71,29783.35,640.37
2020-11-18,3567.79,23.84,29438.42,641.1
2020-11-19,3581.87,23.11,29483.23,642.51
2020-11-20,3557.54,23.7,29263.48,643.54
2020-11-23,3577.59,22.66,29591.27,642.61
2020-11-24,3635.41,21.64,30046.24,642.49
2020-11-25,3629.65,21.25,29872.47,642.97
2020-11-27,3638.35,20.84,29910.37,644.86
2020-11-30,3621.63,20.57,29638.64,645.87
2020-12-01,3662.45,20.77,29823.92,643.52
2020-12-02,3669.01,21.17,29883.79,643.88
2020-12-03,3666.72,21.28,29969.52,645.67
2020-12-04,3699.12,20.79,30218.26,643.92
2020-12-07,3691.96,21.3,30069.79,645.72
2020-12-08,3702.25,20.68,30173.88,645.49
2020-12-09,3672.82,22.27,30068.81,643.5
2020-12-10,3668.1,22.52,29999.26,645.0
2020-12-11,3663.46,23.31,30046.37,645.28
2020-12-14,3647.49,24.72,29861.55,645.75
2020-12-15,3694.62,22.89,30199.31,645.02
2020-12-16,3701.17,22.5,30154.54,645.97
2020-12-17,3722.48,21.93,30303.37,646.3
2020-12-18,3709.41,21.57,30179.05,645.9
2020-12-21,3694.92,25.16,30216.45,645.74
2020-12-22,3687.26,24.23,30015.51,646.98
2020-12-23,3690.01,23.31,30129.83,645.83
2020-12-24,3703.06,21.53,30199.87,647.03
2020-12-28,3735.36,21.7,30403.97,647.62
2020-12-29,3727.04,23.08,30335.67,648.18
2020-12-30,3732.04,22.77,30409.56,649.06
2020-12-31,3756.07,22.75,30606.48,650.07
2021-01-04,3700.65,26.97,30223.89,649.62
2021-01-05,3726.86,25.34,30391.6,647.27
2021-01-06,3748.14,25.07,30829.4,643.71
2021-01-07,3803.79,22.37,31041.13,643.25
2021-01-08,3824.68,21.56,31097.97,642.3
2021-01-11,3799.61,24.08,31008.69,641.23
2021-01-12,3801.19,23.33,31068.69,640.94
2021-01-13,3809.84,22.21,31060.47,643.6
2021-01-14,3795.54,23.25,30991.52,642.41
2021-01-15,3768.25,24.34,30814.26,643.85
2021-01-19,3798.91,23.24,30930.52,644.59
2021-01-20,3851.85,21.58,31188.38,644.7
2021-01-21,3853.07,21.32,31176.01,643.57
2021-01-22,3841.47,21.91,30996.98,643.8
2021-01-25,3855.36,23.19,30960.0,645.61
2021-01-26,3849.62,23.02,30937.04,645.64
2021-01-27,3750.77,37.21,30303.17,646.14
2021-01-28,3787.38,30.21,30603.36,644.63
2021-01-29,3714.24,33.09,29982.62,643.04
2021-02-01,3773.86,30.24,30211.91,643.78
2021-02-02,3826.31,25.56,30687.48,643.04
2021-02-03,3830.17,22.91,30723.6,642.46
2021-02-04,3871.74,21.77,31055.86,642.71
2021-02-05,3886.83,20.87,31148.24,642.22
2021-02-08,3915.59,21.24,31385.76,643.13
2021-02-09,3911.23,21.63,31375.83,643.32
2021-02-10,3909.88,21.99,31437.8,644.49
2021-02-11,3916.38,21.25,31430.7,644.31
2021-02-12,3934.83,19.97,31458.4,642.5
2021-02-16,3932.59,21.46,31522.75,639.01
2021-02-17,3931.33,21.5,31613.02,639.05
2021-02-18,3913.97,22.49,31493.34,639.79
2021-02-19,3906.71,22.05,31494.32,637.41
2021-02-22,3876.5,23.45,31521.69,635.33
2021-02-23,3881.37,23.11,31537.35,634.81
2021-02-24,3925.43,21.34,31961.86,634.04
2021-02-25,3829.34,28.89,31402.01,628.49
2021-02-26,3811.15,27.95,30932.37,630.2
2021-03-01,3901.82,23.35,31535.51,631.27
2021-03-02,3870.29,24.1,31391.52,632.75
2021-03-03,3819.72,26.67,31270.09,630.16
2021-03-04,3768.47,28.57,30924.14,625.91
